StoneAge historical map.exe capture analysis — R1
SCOPE|Wayback-capture-transient-download+archive-list+map-dat-validation|derived-metadata-only|no-payload-commit
ORIGINAL|http://www.wuxitianlong.com:80/sa/map.exe
CAPTURE|timestamp=20030623234451|status=200|bytes=4223728|sha256=372426e46765a1cf479041bdafc1d3e58fb019117d00d0b43d6a5f796620776e|md5=b357132ca82d012656b9c907acef5d4e|signature=pe-mz|content_type=application/octet-stream|final=https://web.archive.org/web/20030623234451id_/http://www.wuxitianlong.com:80/sa/map.exe
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/10202.DAT|size=14408|packed=2346|crc=9F70D1BB|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/10203.DAT|size=14408|packed=2280|crc=9FB5856C|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/10204.DAT|size=60008|packed=6132|crc=472CC8D3|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/1021.DAT|size=351656|packed=93631|crc=73F898C1|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/10402.DAT|size=15008|packed=1444|crc=129BD9D1|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/10403.DAT|size=15008|packed=1413|crc=2CFF4E40|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/10404.DAT|size=15008|packed=1438|crc=53ADFEE5|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/10405.DAT|size=15008|packed=1435|crc=53BDC5BF|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/10406.DAT|size=15008|packed=1348|crc=3E61B97F|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/10407.DAT|size=15008|packed=1413|crc=6ACE8AFB|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/10408.DAT|size=15008|packed=1539|crc=C46A948C|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/10601.DAT|size=15008|packed=1620|crc=879EDE18|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/1022.DAT|size=1358|packed=340|crc=E2869B7E|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/10602.DAT|size=15008|packed=1520|crc=56B4DD5D|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/10603.DAT|size=15008|packed=2129|crc=DF50EA8E|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/10604.DAT|size=15008|packed=1947|crc=8C5FF243|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/10605.DAT|size=15008|packed=2105|crc=54CCC275|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/10701.DAT|size=38408|packed=4518|crc=FE070F58|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/10702.DAT|size=15008|packed=1834|crc=FE9880E7|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/10901.DAT|size=15008|packed=1739|crc=8C38CDD2|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/10912.DAT|size=9608|packed=1095|crc=AF41D28F|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/10913.DAT|size=15008|packed=1298|crc=6D1D31C0|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/10914.DAT|size=14408|packed=1543|crc=EFBDFBC0|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/10915.DAT|size=14408|packed=1592|crc=D59097D3|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/10916.DAT|size=9608|packed=1146|crc=E48B8AAF|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/10917.DAT|size=18008|packed=1657|crc=50BE59F1|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/10918.DAT|size=5408|packed=760|crc=57E3B1A3|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/10703.DAT|size=38408|packed=3910|crc=E8FE3313|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/10704.DAT|size=15008|packed=1817|crc=1316E074|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/10705.DAT|size=38408|packed=4448|crc=F934A93B|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/10919.DAT|size=2408|packed=403|crc=2F20733D|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/1100.DAT|size=117008|packed=15368|crc=639097D7|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/11001.DAT|size=15008|packed=1309|crc=1ED3B392|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/11002.DAT|size=15008|packed=1681|crc=2DF02F43|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/11003.DAT|size=15008|packed=1733|crc=7A3A3C0F|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/11004.DAT|size=15008|packed=1885|crc=A6095D7F|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/11005.DAT|size=15008|packed=1296|crc=E26D175C|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/11006.DAT|size=15008|packed=2216|crc=C4408198|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/1101.DAT|size=5408|packed=278|crc=F82C5E84|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/10920.DAT|size=60008|packed=8935|crc=3DD75CD0|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/110.DAT|size=12428|packed=2216|crc=8DBBB741|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/1102.DAT|size=5408|packed=287|crc=774E91E2|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/1103.DAT|size=5408|packed=282|crc=6BA913AF|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/1104.DAT|size=5408|packed=327|crc=3F8FADA2|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/1105.DAT|size=5408|packed=332|crc=FEFCE126|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/1112.DAT|size=5408|packed=334|crc=9E9892AE|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/11201.DAT|size=38408|packed=3474|crc=DD4757A5|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/11202.DAT|size=38408|packed=3191|crc=D4B076CD|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/11203.DAT|size=29408|packed=726|crc=06F84DF7|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/11204.DAT|size=29408|packed=2799|crc=58CD70ED|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/11205.DAT|size=29408|packed=2951|crc=21E0EA33|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/11206.DAT|size=21608|packed=2289|crc=9E42A389|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/11207.DAT|size=21608|packed=2185|crc=DF0DE898|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/1106.DAT|size=7208|packed=381|crc=98376476|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/111.DAT|size=3440|packed=443|crc=5C29BB18|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/11101.DAT|size=29408|packed=2689|crc=F7BEEF8E|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/11102.DAT|size=15008|packed=1294|crc=86A694A6|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/11103.DAT|size=15008|packed=1530|crc=90D38E80|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/11104.DAT|size=15008|packed=1830|crc=6308D1CB|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/11105.DAT|size=15008|packed=1439|crc=6418CD3F|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/11106.DAT|size=15008|packed=1561|crc=422FF1E1|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/11107.DAT|size=15008|packed=1794|crc=0CA6B30B|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/11208.DAT|size=21608|packed=2248|crc=380FF4E6|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/112.DAT|size=1448|packed=428|crc=B11DEB3D|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/11209.DAT|size=21608|packed=2276|crc=A6DD5990|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/11210.DAT|size=15008|packed=1687|crc=2BBD31B3|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/11211.DAT|size=15008|packed=1707|crc=4D483060|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/11212.DAT|size=15008|packed=1641|crc=81B213DB|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/11213.DAT|size=15008|packed=1715|crc=9FDD4BC5|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/11214.DAT|size=15008|packed=1262|crc=0CCDE398|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/120.DAT|size=5408|packed=271|crc=885147D8|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/1200.DAT|size=117008|packed=8704|crc=36EE92C4|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/1201.DAT|size=5408|packed=382|crc=C1B92A37|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/1202.DAT|size=5408|packed=386|crc=5751D6DD|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/1203.DAT|size=5408|packed=384|crc=6370E92A|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/1204.DAT|size=5408|packed=348|crc=A1291306|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/1205.DAT|size=5408|packed=459|crc=950C947D|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/1206.DAT|size=7208|packed=584|crc=53C5D4B5|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/11215.DAT|size=2408|packed=323|crc=FE908BA2|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/113.DAT|size=734|packed=179|crc=63AA75D9|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/114.DAT|size=734|packed=180|crc=DFE09FBE|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/115.DAT|size=734|packed=182|crc=81540BDD|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/116.DAT|size=12158|packed=2867|crc=D15AEE26|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/117.DAT|size=360008|packed=35988|crc=4E5DEF0D|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/118.DAT|size=270008|packed=27374|crc=9569D516|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/119.DAT|size=240008|packed=15060|crc=8CEFF6ED|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/121.DAT|size=5408|packed=425|crc=96E09728|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/1210.DAT|size=5408|packed=381|crc=9204AA7E|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/1212.DAT|size=5408|packed=457|crc=47B93DF8|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/130.DAT|size=21608|packed=3862|crc=9A9C4956|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/1300.DAT|size=60008|packed=8429|crc=940BA652|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/1301.DAT|size=5408|packed=276|crc=FBEDD7B1|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/1302.DAT|size=5408|packed=275|crc=D4D84466|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/1303.DAT|size=5408|packed=283|crc=DA3CA9EF|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/1304.DAT|size=5408|packed=312|crc=F88EBE4D|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/1305.DAT|size=5408|packed=331|crc=348707FE|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/122.DAT|size=360008|packed=35756|crc=02460B2C|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/125.DAT|size=9008|packed=1646|crc=A5E241D2|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/1306.DAT|size=7208|packed=409|crc=189097D3|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/1400.DAT|size=135008|packed=16579|crc=F9E97574|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/2001.DAT|size=5408|packed=283|crc=27A5CAFD|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/2003.DAT|size=5408|packed=276|crc=2D7969C2|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/2004.DAT|size=5408|packed=308|crc=29C4587F|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/2005.DAT|size=5408|packed=344|crc=775BF01B|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/2009.DAT|size=14408|packed=965|crc=4B61CC43|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/20101.DAT|size=21008|packed=1725|crc=9F7679CD|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/20102.DAT|size=16808|packed=2094|crc=02D62CFA|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/1401.DAT|size=5408|packed=286|crc=F70F9AE2|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/20103.DAT|size=15008|packed=1618|crc=A162CAB3|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/20104.DAT|size=9608|packed=1256|crc=321043E0|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/20105.DAT|size=21008|packed=2843|crc=4EB7ADBB|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/2011.DAT|size=5408|packed=310|crc=5428F88B|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/2012.DAT|size=5408|packed=329|crc=D0ABDBD8|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/2014.DAT|size=5408|packed=319|crc=D5EC1E06|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/2020.DAT|size=3758|packed=355|crc=4D4E5CE7|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/20301.DAT|size=270008|packed=21271|crc=8BC9F0FB|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/20302.DAT|size=60008|packed=5822|crc=7E426475|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/2007.DAT|size=60008|packed=2664|crc=181C52C7|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/20303.DAT|size=60008|packed=5762|crc=1F577232|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/201.DAT|size=7208|packed=381|crc=F12B82E4|method=m5:20
