StoneAge 2.5-family DiscMaster client-signature carrier probe — R1
SCOPE|public-file-index|verified-bridge-filenames|metadata-only|no-indexed-file-payload
BOUNDARY|bridge signatures can locate related client trees but cannot by themselves date or authenticate a carrier as 2002/clean
QUERY|label=adrn15|name=adrn_15.bin|kind=distinctive|status=200|bytes=2|sha256=4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945|exact_rows=0|final=https://discmaster.textfiles.com/search?q=%22adrn_15.bin%22&qfields=name&mode=deep&dedup=dedup&limit=100&outputAs=json&showItemName=showItemName&tsMin=2000&tsMax=2006
HIT|label=startup-exe|kind=supporting|itemid=21651|itemName=PC Expert 29 (CD-ROM)|path=Pce29cd.iso/Utilitarios/Essenciais/Norton Antivirus/nav9xmebr.exe/SUPPORT/EDISK/DISK1.IMG/startup.exe|size=116281|ts=2000-09-12|b3sum=ddf27fa4e3d65b63013709d1e3382e547add23c41e66aaf23303c43aaeaa6c6b
HIT|label=startup-exe|kind=supporting|itemid=23122|itemName=Chip 2002 March (CD-ROM)|path=chip-cd_2002_03.zip/03/Narzedzia systemowe/TrojanShield 2.20/ST2.exe/DATA1.CAB/TrojanShield_Startup_Manager/Startup.exe|size=118784|ts=2002-01-11|b3sum=cd231b6cfbcf4d389163715b42df6de9d8e9adf214d9d7469534923a9249bd0e
HIT|label=startup-exe|kind=supporting|itemid=23860|itemName=PC World Plus! (NZ) 2001 September (CD-ROM)|path=PCW0901.iso/Utilitiy/NortonUtilities/nu50_tb_IN.exe/Support/EDisk/Disk1.img/STARTUP.EXE/STARTUP.EXE|size=215644|ts=2000-08-17|b3sum=f7b7cff82bc288f0c19090f588022f29dbf0d1a331f00f95e00bd711f89f6eba
HIT|label=startup-exe|kind=supporting|itemid=30771|itemName=Australian Personal Computer 2002 October (CD-ROM)|path=APC0210D1.iso/features/norton/files/SUPPORT/EDISK/DISK1.IMG/STARTUP.EXE|size=116169|ts=2001-07-28|b3sum=d52e2f2baaacb7557135f01cd90b6ca51d96d0d8c3d6eeda19edd76997acba25
HIT|label=startup-exe|kind=supporting|itemid=33723|itemName=PC Open 106 (CD-ROM)|path=PC Open 106 CD 3.bin/Startup.exe|size=876120|ts=2005-04-05|b3sum=58aabcfa9d8acb54507780c6bcc3ed734fd2c6e855ba68e5428dd0c10dc40e08
HIT|label=startup-exe|kind=supporting|itemid=36216|itemName=PCNET 2005 August - Disc 2 (CD-ROM)|path=PCnet_08_05_2.iso/Browse/AtStart.exe/startup.exe|size=20480|ts=2003-01-01|b3sum=80938cbf81861c1ede79f82e1579d822b9233d7cdf960c872efb326d3d75e6de
HIT|label=startup-exe|kind=supporting|itemid=23785|itemName=PC World 2005 October (CD-ROM)|path=PCWorld_2005-10_cd.bin/software/vyzkuste/startup/startup.exe|size=2545429|ts=2005-09-02|b3sum=698a50240d3aedccc6a56a482dc36a17742a3dae8e2965fa06ad18c21b60da29
HIT|label=startup-exe|kind=supporting|itemid=23797|itemName=PC World 2007 March (CD-ROM)|path=PCWorld_2007-03_cd.bin/system/absoluteuni/uninstallersetup.exe/{app}/startup.exe|size=1834496|ts=2006-10-15|b3sum=a800a62630baff563229fb95a5273c53ec10ad53453fe34828b524e31c840093
HIT|label=startup-exe|kind=supporting|itemid=32986|itemName=PC Welt 2003 August (CD-ROM)|path=PCWELT_8_2003.ISO/werbung/T-Online/T-Online/Software/MediaMaker/MediaMaker.exe/%MAINDIR%/mxcdr/Startup.exe|size=45056|ts=2003-02-19|b3sum=3c59084894d76ce8c3d48c95e67dce7c1d060c2bc116a959ae0a4c216e141986
HIT|label=startup-exe|kind=supporting|itemid=33186|itemName=Mistress Mini Games (CD-ROM)|path=MISTRESS MINI GAMES.ISO/Ballance.exe/%MAINDIR%/MAIN.exe/MAIN.exe/Startup.exe|size=192512|ts=2004-02-21|b3sum=b0dd348d8bbddebb90b9d89387671d955946c0d7dd69317c2fe5e2512e5b04a4
HIT|label=startup-exe|kind=supporting|itemid=37834|itemName=PC Master 2000 March 15 (CD-ROM)|path=PC Master Τεύχος 118 - 15 Μαρτίου 2000/PC Master Τεύχος 118 - 15 Μαρτίου 2000 - CD 1.bin/demos/boxoftricks/StartUp.exe|size=20480|ts=2000-01-27|b3sum=27b65c33be1138584ad2520c0675b9935bbd09a5e1b1def14001d015c9d0b0b0
HIT|label=startup-exe|kind=supporting|itemid=40186|itemName=PC Hemma 2005 August (CD-ROM)|path=PCH0805.ISO/program/nytta/full/MovieEditSilver2005/Movie_Edit_Pro_2005_silver_Hje_Mor_SKAN.exe/%MAINDIR%/mxcdr/Startup.exe|size=45056|ts=2005-05-30|b3sum=ac322dd9141555c6d2aaf0323ab004c5256ab301de442a01ee1b16b52e44ef5d
HIT|label=startup-exe|kind=supporting|itemid=41331|itemName=Score 2007 April (CD-ROM)|path=Score_2007-04_158_DVD2-2.iso/Register/Startup.exe|size=2215936|ts=2005-03-21|b3sum=184dd282b3eb7fa5ccb663fbad67e8f32f7da4796df33240f9f995120725e2f9
HIT|label=startup-exe|kind=supporting|itemid=42099|itemName=PC Format 119 (CD-ROM)|path=PCF119DVD/PCF119DVD.ISO/Full products/kitchen/FILES/STARTUP.EXE|size=133120|ts=2001-01-09|b3sum=28ecd0584d326c43c2f862e42e2ddd2daa60eab2b2e9d89d2f84b06503822bbb
HIT|label=startup-exe|kind=supporting|itemid=42167|itemName=PC Format 190 (CD-ROM)|path=PCF190DVD1_08_06/PCF190DVD1_08_06.ISO/DiscContents/Workshops/Workshops_General/Quick Startup/startup.exe/{app}/startup.exe|size=1781760|ts=2006-05-02|b3sum=fce61328a95bc9211a042811819b49e62a8b88035250bd9a0f7979e1a837a5e5
HIT|label=startup-exe|kind=supporting|itemid=45268|itemName=Maximum CD 2003 April (CD-ROM)|path=Maximum.CD.April.2003.CD/Maximum.CD.April.2003.CD/MaxPC_April2003.mdf/Software/Utilities/StartupCPL_EXE.zip/Startup.exe|size=77824|ts=2003-01-03|b3sum=1863fa624870ebade5392f82b2d0a8ca777a8b2a9c8d6e814ba12a59b6c72a46
HIT|label=startup-exe|kind=supporting|itemid=19286|itemName=ftp.winsite.com/win95/sounds (FTP)|path=ftp.winsite.com-win95-sounds.tar/ftp.winsite.com/pub/pc/win95/sounds/ls104.zip/ls104/files/Startup.exe|size=28672|ts=2002-10-20|b3sum=26862840ab709dd3408a99fae64d825b000a14f655a380e16fbe0edb153c46cf
HIT|label=startup-exe|kind=supporting|itemid=23739|itemName=PC World 2001 October (CD-ROM)|path=PCWorld_2001-10_cd.bin/Software/Vyzkuste/inetcafe/client2.cab/STARTUP.EXE|size=20480|ts=2001-07-13|b3sum=94065d9d4d3e57d92a6d12869caaea3ca4afa2305dc46728f3ca9606472601bb
HIT|label=startup-exe|kind=supporting|itemid=23751|itemName=PC World 2002 November (CD-ROM)|path=PCWorld_2002-11_cd.bin/Software/Topware/startup/StartupCPL_EXE.zip/Startup.exe|size=90112|ts=2000-05-20|b3sum=604d5123dd5b0938c0c97ddd00d8af219637d0b38936f5a997bda8e0608c30a6
HIT|label=startup-exe|kind=supporting|itemid=32965|itemName=PC Welt 2002 March (CD-ROM)|path=PC-WELT 3-2002.ISO/software/sw/gratis/Startup.exe|size=87040|ts=2002-01-09|b3sum=4c0707c5dec9dfbe374bc302a8119ba59ec7f91c0e525e797022d1fd30ffd518
HIT|label=startup-exe|kind=supporting|itemid=35470|itemName=Clickx 22 (CD-ROM)|path=Clickx 22.iso/Startup.exe|size=155648|ts=2005-01-01|b3sum=f771e6cce70fcd99c4602aa80625133e78363cfd98177cb464058610933ff58f
HIT|label=startup-exe|kind=supporting|itemid=41760|itemName=Twilight 90 (CD-ROM)|path=TWILIGHT_090_DVD3.iso/APPS/0049/SUPPORT/EDISK/DISK1.IMG/Startup.exe|size=116537|ts=2004-09-02|b3sum=3afae52714b7c5711aacb99f4b1f6d1f866fbb97d467f5737a06445afb1a4c90
HIT|label=startup-exe|kind=supporting|itemid=42170|itemName=PC Format 194 (CD-ROM)|path=PCF194DVD2_12_06/PCF194DVD2_12_06.ISO/DiscContents/Games/Games_Shareware/50 Shareware Games/Gamefiles/Hyperspace Invader/HyperspaceInvaderSetup.exe/{app}/StartUp.exe|size=27136|ts=2005-12-30|b3sum=b36954d589fbee477900f1d143c16c58aab432bdbc2e761d9d8afae781042792
HIT|label=startup-exe|kind=supporting|itemid=33277|itemName=Mikrobitti Huvi & Hyöty 2006 (CD-ROM)|path=MBHH2006Disc1.bin/paketit/pleurgh.exe/Startup.exe|size=614669|ts=2002-06-29|b3sum=e8b31c52da7d50e1b82ee29db28b0bf870873122b568e310bdcebf6eae205c07
HIT|label=startup-exe|kind=supporting|itemid=11564|itemName=Igromania 2005 December (CD-ROM)|path=Igromania_2005-12.iso/Funnies/HyperZahvatchic/HyperZahvatchic.rar/HypespaceInvaderRus.exe/#setuppath#/StartUp.exe|size=1404928|ts=2005-10-19|b3sum=0a1e57526dd24b45eb5eadae41dd9f57bb0e78b69220b3ed73e663c51d47c857
HIT|label=startup-exe|kind=supporting|itemid=19277|itemName=ftp.winsite.com/win95/miscutil (FTP)|path=ftp.winsite.com-win95-miscutil.tar/ftp.winsite.com/pub/pc/win95/miscutil/StartUp.exe/StartUp.exe|size=495616|ts=2004-12-03|b3sum=bf3712540f14d2009b44c543b7c95006995ae01b1601aeb2b644df025ba05276
HIT|label=startup-exe|kind=supporting|itemid=20760|itemName=PCGUIA 110 (CD-ROM)|path=PC Guia 110.iso/Software/Utils/MailRelayer/MRO_Eval.EXE/%MAINDIR%/Startup.EXE|size=106610|ts=2004-09-24|b3sum=b49231ef051bbc2d2939d89df108799fba925deed5264c880993d0e09099baf7
HIT|label=startup-exe|kind=supporting|itemid=23099|itemName=Chip 2003 January (CD-ROM)|path=chip-cd_2003_01.zip/01/Programy antywirusowe/Norton AntiVirus Professional 2003/Support/Edisk/Disk1.img/startup.exe|size=116153|ts=2002-08-19|b3sum=53058b79b9eb62ac06b37e3bcea52379255fa544e7e3639c71f22d7d80375fc4
HIT|label=startup-exe|kind=supporting|itemid=37498|itemName=PC Professionell 2003 July (CD-ROM)|path=PCpro_2003_07.ISO/trials/systemworks/SUPPORT/EDISK/DISK1.IMG/startup.exe/startup.exe|size=208234|ts=2002-09-03|b3sum=a64140fa8d145dd26ed80f938c154e6d8e3ff860bc2fed8c09db1a8bae7931f3
