StoneAge Taiwan v1.0 battle-scene reconstruction dataset — R1
SCOPE|verified-retail-disc|derived-metadata-only|no-payload-bytes
SOURCE|path=research/recovered/STONEAGE-TW10-CLIENT-INVENTORY-R1.txt|git_blob_sha=53472cc122ba4e67436a52b820e9e1bf0f16b24e
DERIVATION|preserve-address-table-order|records-copied-from-ADDRESS_RECORD-label-battle|stable-key=index+offset+name+sha256
ADDRESS_TABLE_CONTAINER|label=battle|table_path=stoneage/data/battletxt_1.txt|container_path=stoneage/data/battle_1.bin|records=233|record_bytes=185892|span_end=185892|container_size=185892|starts_zero=1|contiguous=1|span_matches_container=1
ADDRESS_RECORD|label=battle|index=18|offset=14472|size=804|name=battle18.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle18.sab|file_sizes=804|sha256=8c38e1266a76bc4d7b9ae5fba6d8c45ae64f876cec1d5c4b427f04c226c59456
ADDRESS_RECORD|label=battle|index=19|offset=15276|size=804|name=battle19.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle19.sab|file_sizes=804|sha256=4d8a376e580e0189e05b12c219eed8cc7221e803ed2a6fa54616a347e1de3e5a
ADDRESS_RECORD|label=battle|index=20|offset=16080|size=804|name=battle20.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle20.sab|file_sizes=804|sha256=ce8e0a5bf1a598fe5a72a4ec81e3b54b1ff62b33d671e559612470f1502b9997
ADDRESS_RECORD|label=battle|index=21|offset=16884|size=804|name=battle21.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle21.sab|file_sizes=804|sha256=13ff00b8185272e2fb2254d588cec415e34763e2c92d7aa20aab5fdaf6901bf2
ADDRESS_RECORD|label=battle|index=22|offset=17688|size=804|name=battle22.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle22.sab|file_sizes=804|sha256=95fe74c22ecf153b31c9a6ac374f5b07ea5c5752090414ac90a0cd0af388dcbc
ADDRESS_RECORD|label=battle|index=23|offset=18492|size=804|name=battle23.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle23.sab|file_sizes=804|sha256=3febdeb1232b944b5d0662493720efd46f4f198a0cf0e2166ea69158539e2dbe
ADDRESS_RECORD|label=battle|index=24|offset=19296|size=804|name=battle24.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle24.sab|file_sizes=804|sha256=371b7a813d33839753c1dda5844404ebe38d9a5e727656db11eb171be36c7f36
ADDRESS_RECORD|label=battle|index=25|offset=20100|size=804|name=battle25.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle25.sab|file_sizes=804|sha256=e062ca31a3efd84a29d4718ef6c1e5228d982e8588ae51ce221600f05c1fcdb1
ADDRESS_RECORD|label=battle|index=26|offset=20904|size=804|name=battle26.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle26.sab|file_sizes=804|sha256=f8f850f305568d4bb728cddaccf128a04558d450c5708b6dbdea0b8d83f555ed
ADDRESS_RECORD|label=battle|index=27|offset=21708|size=804|name=battle27.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle27.sab|file_sizes=804|sha256=440d6a09db4d5f9813b96ae473420b8b81744c93a14e38439083a6071e0e97ef
ADDRESS_RECORD|label=battle|index=28|offset=22512|size=804|name=battle28.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle28.sab|file_sizes=804|sha256=983a0f628ce197d304862baf11ae03457347411b6204337b13bfe3001fcd14df
ADDRESS_RECORD|label=battle|index=29|offset=23316|size=804|name=battle29.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle29.sab|file_sizes=804|sha256=6fe18aa1bbcc01e09cd66768da2425002f2c64ff9fee99e96e3395d7736cadad
ADDRESS_RECORD|label=battle|index=30|offset=24120|size=804|name=battle30.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle30.sab|file_sizes=804|sha256=6de62d2f605a0e5c761b1c2e910e5b6b2570803815a3e3ec2df932eecbabd572
ADDRESS_RECORD|label=battle|index=31|offset=24924|size=804|name=battle31.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle31.sab|file_sizes=804|sha256=d32790322f81fa4aec5009f502f65a142b9123ca3dba79e963b0e85b49223b16
ADDRESS_RECORD|label=battle|index=32|offset=25728|size=804|name=battle32.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle32.sab|file_sizes=804|sha256=33d9a299e3255446516e9a1b10e0aacb8671dbb787098b04feaae2729a3702cb
ADDRESS_RECORD|label=battle|index=33|offset=26532|size=804|name=battle33.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle33.sab|file_sizes=804|sha256=c469ea064d794e70899cfed099d8fd8b1e24dade2f6fb57c8849e36071c400d3
ADDRESS_RECORD|label=battle|index=34|offset=27336|size=804|name=battle34.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle34.sab|file_sizes=804|sha256=206e34d95327baef7c96b75490b2bb0a7b27f8a015a432a17f78f315b31b89ac
ADDRESS_RECORD|label=battle|index=35|offset=28140|size=804|name=battle35.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle35.sab|file_sizes=804|sha256=0a875d27979a7b0007765535cf3512b170094270364bf1badc261dfa265c7530
ADDRESS_RECORD|label=battle|index=36|offset=28944|size=804|name=battle36.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle36.sab|file_sizes=804|sha256=48ae208c897db473fdc3b5dcbec75a4994a185df9c9ecf63022df333797457fe
ADDRESS_RECORD|label=battle|index=37|offset=29748|size=804|name=battle37.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle37.sab|file_sizes=804|sha256=aec52893ee2f195a50950a4cb584003e22dd7f1c6c179b696e0091ab21a606be
ADDRESS_RECORD|label=battle|index=38|offset=30552|size=804|name=battle38.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle38.sab|file_sizes=804|sha256=1e544ae1bf5579d99e27e3cab1e6e3ea0653073b44607fed5df9f557260c8ebb
ADDRESS_RECORD|label=battle|index=39|offset=31356|size=804|name=battle39.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle39.sab|file_sizes=804|sha256=5affe3023f140f62857179faf585c95225db94a52c7ac7fe2319cf5f9a77e8ce
ADDRESS_RECORD|label=battle|index=40|offset=32160|size=804|name=battle40.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle40.sab|file_sizes=804|sha256=4e583d49b9ef8d01921295d15cb63d1fa3cac01e55ff48d85d6670454ea00d4d
ADDRESS_RECORD|label=battle|index=41|offset=32964|size=804|name=battle41.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle41.sab|file_sizes=804|sha256=20a44516033a51113b8b387e77031940cc66d890c3240427a39f602dd51f9592
ADDRESS_RECORD|label=battle|index=42|offset=33768|size=804|name=battle42.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle42.sab|file_sizes=804|sha256=560507ccd6e56e2019d5dde2c03d5daeaefb77b4860d04d5b057bb1b4f035422
ADDRESS_RECORD|label=battle|index=43|offset=34572|size=804|name=battle43.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle43.sab|file_sizes=804|sha256=467a22f119fd4fe30d1be9a7d2b1552e49c89485cd21e22fad1793c2fec7d7fb
ADDRESS_RECORD|label=battle|index=44|offset=35376|size=804|name=battle44.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle44.sab|file_sizes=804|sha256=c64a00224d4448dc427750819d72c64e2e3e9e888beda7a84c8355dfe19c1cde
ADDRESS_RECORD|label=battle|index=45|offset=36180|size=804|name=battle45.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle45.sab|file_sizes=804|sha256=85a357e93c50de1fa7e2bdd32f0ef702cbbf51ab70699069df285e1a9eace555
ADDRESS_RECORD|label=battle|index=46|offset=36984|size=804|name=battle46.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle46.sab|file_sizes=804|sha256=6501a0c5d26075d70a338a73af99cbf7e8258f4d786ba52c151b0203fb1a32a5
ADDRESS_RECORD|label=battle|index=47|offset=37788|size=804|name=battle47.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle47.sab|file_sizes=804|sha256=121c3a2bcac5fe42c3d060567e2e865411936397d47067251819a5c7c5f46950
ADDRESS_RECORD|label=battle|index=48|offset=38592|size=804|name=battle48.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle48.sab|file_sizes=804|sha256=bed11b6778535baa3b6af96cce5a0c8cde210e95df8468216279d81bbc78b8d1
ADDRESS_RECORD|label=battle|index=49|offset=39396|size=804|name=battle49.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle49.sab|file_sizes=804|sha256=292e994f935312f801f94168dad6c75f290faee03657d8a532fd8b1831b80ee7
ADDRESS_RECORD|label=battle|index=50|offset=40200|size=804|name=battle50.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle50.sab|file_sizes=804|sha256=46e28095f15071c8ce5b263053423d3c38ad96b6b2dee2f0e35db33afaf98605
ADDRESS_RECORD|label=battle|index=51|offset=41004|size=804|name=battle51.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle51.sab|file_sizes=804|sha256=771e36a803000c602f5dc5257dacc49c1a7ee3382f183c0d13c55cb382a5bb5b
ADDRESS_RECORD|label=battle|index=52|offset=41808|size=804|name=battle52.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle52.sab|file_sizes=804|sha256=4fcc2c3fa6e7d9fabd0fdff0fca67f5d8db5b53f6400d7d341286c79685d0344
ADDRESS_RECORD|label=battle|index=53|offset=42612|size=804|name=battle53.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle53.sab|file_sizes=804|sha256=f29bafc2bc8cac8991d625313fdb386bf283d87ef675a2f722e8501bd281d947
ADDRESS_RECORD|label=battle|index=54|offset=43416|size=804|name=battle54.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle54.sab|file_sizes=804|sha256=075b631f6ec74173b69ba96ee6005063799208679b3d7cb47f75da3c9b0be74d
ADDRESS_RECORD|label=battle|index=55|offset=44220|size=804|name=battle55.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle55.sab|file_sizes=804|sha256=57c01a9de30a78de6576363d97de010e5324afa268e915e3f296889fe9e6dd50
ADDRESS_RECORD|label=battle|index=56|offset=45024|size=804|name=battle56.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle56.sab|file_sizes=804|sha256=d67c5b56bfe00175ae03a8003fc6848cc8e76f3aeb1b3806e4cc6477867a0070
ADDRESS_RECORD|label=battle|index=57|offset=45828|size=804|name=battle57.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle57.sab|file_sizes=804|sha256=26e9de8c479f3576cbda003c2872d98e1e6d104034ab9f49d7988453fb2fefbd
ADDRESS_RECORD|label=battle|index=58|offset=46632|size=804|name=battle58.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle58.sab|file_sizes=804|sha256=10b9dc125fe0c39090d77e4478c956d9cdc4fcf9297846a9fcec880ef42cd5ab
ADDRESS_RECORD|label=battle|index=59|offset=47436|size=804|name=battle59.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle59.sab|file_sizes=804|sha256=37f9eed2d1256effe3a84ff89b6615f401661fc3da009cb9dbf4d87466fab853
ADDRESS_RECORD|label=battle|index=60|offset=48240|size=804|name=battle60.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle60.sab|file_sizes=804|sha256=01d2fd9ed1616e9b37d98449cda0924194b572bf6c65714cf76e8cf2910ed8bd
ADDRESS_RECORD|label=battle|index=61|offset=49044|size=804|name=battle61.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle61.sab|file_sizes=804|sha256=0c31ae1e086ce95fe34db4f6644965edf80d43c1bb94ea90dfa3a820d0126652
ADDRESS_RECORD|label=battle|index=62|offset=49848|size=804|name=battle62.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle62.sab|file_sizes=804|sha256=4cd39de7f44e6eb1d0ba7d1590a1e1bf3cf8197a3bb6eab5c78fba32623d265a
ADDRESS_RECORD|label=battle|index=63|offset=50652|size=804|name=battle63.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle63.sab|file_sizes=804|sha256=e393300936f4eea3c400da0ba7b7f17a7e4e48ccb03222f8be151ce130e7cfae
ADDRESS_RECORD|label=battle|index=64|offset=51456|size=804|name=battle64.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle64.sab|file_sizes=804|sha256=19616d5368361b634863245b615c8fd472f87dc760c81d8d3b7b2ccc5b684460
ADDRESS_RECORD|label=battle|index=65|offset=52260|size=804|name=battle65.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle65.sab|file_sizes=804|sha256=d9a797f0f7b4119d04b5895c38e323ceb01a73882b97e6aa5c76d0314b0f54de
ADDRESS_RECORD|label=battle|index=66|offset=53064|size=804|name=battle66.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle66.sab|file_sizes=804|sha256=3ec955b586b10bce7644528bcec34f1552bb123de0bfa2dda60bbd237e9fd24e
