StoneAge Beijing-Waei 2.5 official download-page probe — R1
SCOPE|grounded-official-stoneage-prefix|2002-01-01..2002-03-15|Wayback-CDX+bounded-HTML-replay|no-binary-payload
TARGET|prefix=http://www.waei.com.cn/zhuanqu/stoneage/|from=20020101|to=20020315|max_replays=300
CDX|status=200|bytes=278146|sha256=22f92af90ed3d9b448a43f46fce16acd3b47a7c97a0a69d4f9c7ac22bdcf0edd|rows=1846|html_rows=509|final=https://web.archive.org/cdx/search/cdx?url=http%3A%2F%2Fwww.waei.com.cn%2Fzhuanqu%2Fstoneage%2F&matchType=prefix&output=json&fl=timestamp%2Coriginal%2Cstatuscode%2Cmimetype%2Cdigest%2Clength&from=20020101&to=20020315&filter=statuscode%3A200&collapse=urlkey&limit=5000
URL_HINT|score=1|timestamp=20020103114423|original=http://waei.com.cn:80/zhuanqu/stoneage/active/img/zhenggao/30_1s.gif|mimetype=image/gif|digest=35LVGK56NU7LRKDUX4QCEGY5K3B75SJV|length=107155
URL_HINT|score=1|timestamp=20020103115254|original=http://waei.com.cn:80/zhuanqu/stoneage/active/img/zhenggao/30_2s.gif|mimetype=image/gif|digest=3HWULAHQESD5PHMBVXUGQBAOTVVABE4W|length=107869
URL_HINT|score=1|timestamp=20020103115943|original=http://waei.com.cn:80/zhuanqu/stoneage/active/img/zhenggao/30_3s.gif|mimetype=image/gif|digest=OEKYQDBBJEFZGW5X52B3337QTQFTLNH5|length=107198
URL_HINT|score=1|timestamp=20020204175411|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/img/zhenggao/31.GIF|mimetype=image/gif|digest=ZEIIACXITDVWQBTUULMD6GF5UZ63PCXI|length=197504
URL_HINT|score=1|timestamp=20020314191446|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/img/zhenggao/32s.GIF|mimetype=image/gif|digest=I6B5LBVJGTGMIL7NYGWTAWB7M2ZO5KKU|length=67072
URL_HINT|score=1|timestamp=20020314191627|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/img/zhenggao/4-400.JPG|mimetype=image/jpeg|digest=ZDAEM36Y3VPDEMFBVJZP3HZF2A5NX3BL|length=43363
URL_HINT|score=1|timestamp=20020103121930|original=http://waei.com.cn:80/zhuanqu/stoneage/active/img/zhenggao/4.gif|mimetype=image/gif|digest=Y3F4HFX32YSG3LDQ3B2ZAOSWTKB76WR5|length=1886
URL_HINT|score=1|timestamp=20020314191723|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/img/zhenggao/4.JPG|mimetype=image/jpeg|digest=O2QBWDK4N3MRCUXNX7ZEZ7TW7OFTDJ2Y|length=74436
URL_HINT|score=1|timestamp=20020314191903|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/img/zhenggao/5-400.JPG|mimetype=image/jpeg|digest=JRRSNMILPKG3YV5WOL6QYSPQLOZKR7RX|length=43811
URL_HINT|score=3|timestamp=20020201210514|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/index.asp|mimetype=text/html|digest=2YEAVT4SW34NSG3B6TGIXCW4YAKP7M67|length=5354
URL_HINT|score=1|timestamp=20020207183223|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/mammoth.asp|mimetype=text/html|digest=JTUJUKEY2LJX6JYKUQFC3YOEVRICW6WG|length=4811
URL_HINT|score=1|timestamp=20020203155517|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/mammoth/img/003/1.GIF|mimetype=image/gif|digest=4BLS2JBCTQU4JYPC5FE4LWUYDKHCLSZC|length=130202
